officer_name,designation,department,district,official_phone,official_email,source_url,source_type,verification_status,last_verified
,District Collector,Rural Development & Panchayat Raj Department,Ariyalur,0432922833,collrari@nic.in,https://tnrd.tn.gov.in/rdweb_newsite/project/reports/Public/contact_reports.php,Official Tamil Nadu Government department directory,SOURCE_PUBLISHED,2026-09-14
,Joint Director,Rural Development & Panchayat Raj Department,Ariyalur,7373704219,drdaari@nic.in,https://tnrd.tn.gov.in/rdweb_newsite/project/reports/Public/contact_reports.php,Official Tamil Nadu Government department directory,SOURCE_PUBLISHED,2026-09-14
,Assistant Director (Panchayats),Rural Development & Panchayat Raj Department,Ariyalur,7402607736,adpts.tnari@nic.in,https://tnrd.tn.gov.in/rdweb_newsite/project/reports/Public/contact_reports.php,Official Tamil Nadu Government department directory,SOURCE_PUBLISHED,2026-09-14
,Assistant Director (Audit),Rural Development & Panchayat Raj Department,Ariyalur,7402607536,adptsari@gmail.com,https://tnrd.tn.gov.in/rdweb_newsite/project/reports/Public/contact_reports.php,Official Tamil Nadu Government department directory,SOURCE_PUBLISHED,2026-09-14
,District Panchayat Secretary,Rural Development & Panchayat Raj Department,Ariyalur,9442413229,dpoalr@tn.nic.in,https://tnrd.tn.gov.in/rdweb_newsite/project/reports/Public/contact_reports.php,Official Tamil Nadu Government department directory,SOURCE_PUBLISHED,2026-09-14
,Personal Assistant to Collector,Rural Development & Panchayat Raj Department,Ariyalur,7402607734,papd.tnari@nic.in,https://tnrd.tn.gov.in/rdweb_newsite/project/reports/Public/contact_reports.php,Official Tamil Nadu Government department directory,SOURCE_PUBLISHED,2026-09-14
,District Collector,Rural Development & Panchayat Raj Department,Chengalpattu,9445456000,collr-cpt@gov.in,https://tnrd.tn.gov.in/rdweb_newsite/project/reports/Public/contact_reports.php,Official Tamil Nadu Government department directory,SOURCE_PUBLISHED,2026-09-14
,Joint Director,Rural Development & Panchayat Raj Department,Chengalpattu,7305089502,drdatncpt@gov.in,https://tnrd.tn.gov.in/rdweb_newsite/project/reports/Public/contact_reports.php,Official Tamil Nadu Government department directory,SOURCE_PUBLISHED,2026-09-14
,Assistant Director (Panchayats),Rural Development & Panchayat Raj Department,Chengalpattu,9384844531,adptmkm.tnpkm@nic.in,https://tnrd.tn.gov.in/rdweb_newsite/project/reports/Public/contact_reports.php,Official Tamil Nadu Government department directory,SOURCE_PUBLISHED,2026-09-14
,Assistant Director (Audit),Rural Development & Panchayat Raj Department,Chengalpattu,7402606096,Adauditmdm@gmail.com,https://tnrd.tn.gov.in/rdweb_newsite/project/reports/Public/contact_reports.php,Official Tamil Nadu Government department directory,SOURCE_PUBLISHED,2026-09-14
,District Panchayat Secretary,Rural Development & Panchayat Raj Department,Chengalpattu,7812808475,dpcchengalpet@gmail.com,https://tnrd.tn.gov.in/rdweb_newsite/project/reports/Public/contact_reports.php,Official Tamil Nadu Government department directory,SOURCE_PUBLISHED,2026-09-14
,Personal Assistant to Collector,Rural Development & Panchayat Raj Department,Chengalpattu,8925504965,papdchengalpat@gmail.com,https://tnrd.tn.gov.in/rdweb_newsite/project/reports/Public/contact_reports.php,Official Tamil Nadu Government department directory,SOURCE_PUBLISHED,2026-09-14
,District Collector,Rural Development & Panchayat Raj Department,Coimbatore,9444168000,collrcbe@nic.in,https://tnrd.tn.gov.in/rdweb_newsite/project/reports/Public/contact_reports.php,Official Tamil Nadu Government department directory,SOURCE_PUBLISHED,2026-09-14
,Joint Director,Rural Development & Panchayat Raj Department,Coimbatore,7373704213,drdacbe@nic.in,https://tnrd.tn.gov.in/rdweb_newsite/project/reports/Public/contact_reports.php,Official Tamil Nadu Government department directory,SOURCE_PUBLISHED,2026-09-14
,Assistant Director (Panchayats),Rural Development & Panchayat Raj Department,Coimbatore,7402607248,adp-tncbe@nic.in,https://tnrd.tn.gov.in/rdweb_newsite/project/reports/Public/contact_reports.php,Official Tamil Nadu Government department directory,SOURCE_PUBLISHED,2026-09-14
,Assistant Director (Audit),Rural Development & Panchayat Raj Department,Coimbatore,7402607249,adauditcbe2014@gmail.com,https://tnrd.tn.gov.in/rdweb_newsite/project/reports/Public/contact_reports.php,Official Tamil Nadu Government department directory,SOURCE_PUBLISHED,2026-09-14
,District Panchayat Secretary,Rural Development & Panchayat Raj Department,Coimbatore,7402607250,dpocbe@gmail.com,https://tnrd.tn.gov.in/rdweb_newsite/project/reports/Public/contact_reports.php,Official Tamil Nadu Government department directory,SOURCE_PUBLISHED,2026-09-14
,Personal Assistant to Collector,Rural Development & Panchayat Raj Department,Coimbatore,7402607246,papd.tncbe@nic.in,https://tnrd.tn.gov.in/rdweb_newsite/project/reports/Public/contact_reports.php,Official Tamil Nadu Government department directory,SOURCE_PUBLISHED,2026-09-14
,District Collector,Rural Development & Panchayat Raj Department,Cuddalore,9444139000,collrcud@nic.in,https://tnrd.tn.gov.in/rdweb_newsite/project/reports/Public/contact_reports.php,Official Tamil Nadu Government department directory,SOURCE_PUBLISHED,2026-09-14
,Joint Director,Rural Development & Panchayat Raj Department,Cuddalore,7373704203,drdacud@nic.in,https://tnrd.tn.gov.in/rdweb_newsite/project/reports/Public/contact_reports.php,Official Tamil Nadu Government department directory,SOURCE_PUBLISHED,2026-09-14
,Assistant Director (Panchayats),Rural Development & Panchayat Raj Department,Cuddalore,7402606219,adptstncud@gov.in,https://tnrd.tn.gov.in/rdweb_newsite/project/reports/Public/contact_reports.php,Official Tamil Nadu Government department directory,SOURCE_PUBLISHED,2026-09-14
,Assistant Director (Audit),Rural Development & Panchayat Raj Department,Cuddalore,7402606220,adauditcud@gmail.com,https://tnrd.tn.gov.in/rdweb_newsite/project/reports/Public/contact_reports.php,Official Tamil Nadu Government department directory,SOURCE_PUBLISHED,2026-09-14
,District Panchayat Secretary,Rural Development & Panchayat Raj Department,Cuddalore,7402606221,cuddpo@gmail.com,https://tnrd.tn.gov.in/rdweb_newsite/project/reports/Public/contact_reports.php,Official Tamil Nadu Government department directory,SOURCE_PUBLISHED,2026-09-14
,Personal Assistant to Collector,Rural Development & Panchayat Raj Department,Cuddalore,7402606217,papd.tncud@nic.in,https://tnrd.tn.gov.in/rdweb_newsite/project/reports/Public/contact_reports.php,Official Tamil Nadu Government department directory,SOURCE_PUBLISHED,2026-09-14
,District Collector,Rural Development & Panchayat Raj Department,Dharmapuri,9444161000,collrdpi@nic.in,https://tnrd.tn.gov.in/rdweb_newsite/project/reports/Public/contact_reports.php,Official Tamil Nadu Government department directory,SOURCE_PUBLISHED,2026-09-14
,Joint Director,Rural Development & Panchayat Raj Department,Dharmapuri,7373704209,drdadpi@nic.in,https://tnrd.tn.gov.in/rdweb_newsite/project/reports/Public/contact_reports.php,Official Tamil Nadu Government department directory,SOURCE_PUBLISHED,2026-09-14
,Assistant Director (Panchayats),Rural Development & Panchayat Raj Department,Dharmapuri,7402606941,adpanchayat.tndpi@nic.in,https://tnrd.tn.gov.in/rdweb_newsite/project/reports/Public/contact_reports.php,Official Tamil Nadu Government department directory,SOURCE_PUBLISHED,2026-09-14
,Assistant Director (Audit),Rural Development & Panchayat Raj Department,Dharmapuri,7402606942,adauditdharma@gmail.com,https://tnrd.tn.gov.in/rdweb_newsite/project/reports/Public/contact_reports.php,Official Tamil Nadu Government department directory,SOURCE_PUBLISHED,2026-09-14
,District Panchayat Secretary,Rural Development & Panchayat Raj Department,Dharmapuri,7402606943,dpidistrictpanchayat@gmail.com,https://tnrd.tn.gov.in/rdweb_newsite/project/reports/Public/contact_reports.php,Official Tamil Nadu Government department directory,SOURCE_PUBLISHED,2026-09-14
,Personal Assistant to Collector,Rural Development & Panchayat Raj Department,Dharmapuri,7402606939,papddharmapuri@yahoo.co.in,https://tnrd.tn.gov.in/rdweb_newsite/project/reports/Public/contact_reports.php,Official Tamil Nadu Government department directory,SOURCE_PUBLISHED,2026-09-14
,District Collector,Rural Development & Panchayat Raj Department,Dindigul,9444169000,collrdgl@nic.in,https://tnrd.tn.gov.in/rdweb_newsite/project/reports/Public/contact_reports.php,Official Tamil Nadu Government department directory,SOURCE_PUBLISHED,2026-09-14
,Joint Director,Rural Development & Panchayat Raj Department,Dindigul,7373704224,drda.tndgl@nic.in,https://tnrd.tn.gov.in/rdweb_newsite/project/reports/Public/contact_reports.php,Official Tamil Nadu Government department directory,SOURCE_PUBLISHED,2026-09-14
,Assistant Director (Panchayats),Rural Development & Panchayat Raj Department,Dindigul,7402608079,adptdgl@nic.in,https://tnrd.tn.gov.in/rdweb_newsite/project/reports/Public/contact_reports.php,Official Tamil Nadu Government department directory,SOURCE_PUBLISHED,2026-09-14
