State,District,Administrative_Level,Designation,Officer_Name,Official_Email,Official_Mobile,Office_Landline,Source_URL,Verified_Date,Data_Status
Tamil Nadu,Chennai,District,Collector,"Thiru V. Anbuselvan, IAS",collrchn@nic.in,9444131000,044-25228025,https://chennai.nic.in/divisions/district-administration/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Chennai,District,District Revenue Officer,Thiru S. Karunakaran,drochn@nic.in,,044-25229454,https://chennai.nic.in/divisions/district-administration/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Chennai,District,Assistant Director of Survey and Land Records,,adsurchn@nic.in,9940477088,044-25226035,https://chennai.nic.in/contact-directory2/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Chennai,Taluk,Tahsildar,Taluk office: Tondiarpet,,9384094001,044-25911727,https://chennai.nic.in/mobile-numbers/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Chennai,Taluk,Tahsildar,Taluk office: Thiruvottiyur,,9384094008,044-25991997,https://chennai.nic.in/mobile-numbers/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Chennai,Taluk,Tahsildar,Taluk office: Purasawalkam,,9445000484,044-25388978,https://chennai.nic.in/mobile-numbers/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Chennai,Taluk,Tahsildar,Taluk office: Perambur,,9445000485,044-25375131,https://chennai.nic.in/mobile-numbers/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Chennai,Taluk,Tahsildar,Taluk office: Madhavaram,,9384094007,044-26590193,https://chennai.nic.in/mobile-numbers/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Chennai,Taluk,Tahsildar,Taluk office: Ayanavaram,,9384094003,044-26431726,https://chennai.nic.in/mobile-numbers/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
Tamil Nadu,Chennai,Taluk,Tahsildar,Taluk office: Aminjikarai,,9384094002,044-26201727,https://chennai.nic.in/mobile-numbers/,2026-09-07,REAL_OFFICIAL_GOVERNMENT_PUBLISHED
